scale_n,reference,condition,paired_windows,bootstrap_units,seeds,mean_delta_sq_err,mean_delta_pct,ci_low,ci_high,separates_zero,direction
25,P0_pi07_baseline,E_depth_tracks,843,30,3,-0.005140987855149157,-10.43873895276975,-0.0068459854667274715,-0.0020972729392697196,True,better
25,P0_pi07_baseline,B_depth,843,30,3,-0.003964572521269074,-8.050036058225885,-0.005552427058932591,-0.0013374113356710254,True,better
25,P0_pi07_baseline,P4_pi07_full_stack,843,30,3,-0.0004412222091298591,-0.8958985298239636,-0.0009628492096085978,0.00038816507322624754,False,better
25,P0_pi07_baseline,P3_pi07_subgoal,843,30,3,-0.00038611099691807397,-0.7839956088564853,-0.0010874024198472504,0.0005808167064642781,False,better
25,P0_pi07_baseline,A_baseline,843,30,3,-0.00010568846662308998,-0.21459967315268944,-0.0002056936126860613,3.0005448297318777e-05,False,better
25,P0_pi07_baseline,P2_pi07_metadata,843,30,3,-3.0256095778723646e-05,-0.06143478538813461,-0.0002751234460366159,0.00022676206544520281,False,better
25,P0_pi07_baseline,D_tracks,843,30,3,-1.1775376383449549e-05,-0.0239098172570714,-0.0003812037446441767,0.0003000579200167857,False,better
25,P0_pi07_baseline,P1_pi07_subtask_text,843,30,3,2.3573823162703212e-05,0.04786647878729062,-0.00031201682393075514,0.0003220294110703656,False,worse
25,P0_pi07_baseline,P_adapter_null,843,30,3,3.961222644007229e-05,0.08043234156481419,-0.00030172933001143976,0.0003583414676704975,False,worse
25,P_adapter_null,P4_pi07_full_stack,843,30,3,-0.00048083443556993144,-0.97554621672362,-0.000893541143654888,0.00029457569486341897,False,better
25,P_adapter_null,P3_pi07_subgoal,843,30,3,-0.00042572322335814635,-0.8637332295598911,-0.0009312633463780847,0.0004425952540117638,False,better
25,P_adapter_null,P2_pi07_metadata,843,30,3,-6.986832221879597e-05,-0.14175311160604312,-0.0002453333332817546,0.00013943539123035636,False,better
25,P_adapter_null,P0_pi07_baseline,843,30,3,-3.961222644007229e-05,-0.08036769994188914,-0.00034497389037753943,0.00034180072844146287,False,better
25,P_adapter_null,P1_pi07_subtask_text,843,30,3,-1.6038403277369125e-05,-0.032539690342643125,-0.00031901418599344553,0.0003040435426254625,False,better
50,P0_pi07_baseline,E_depth_tracks,843,30,3,-0.005715308059669795,-16.469326970885977,-0.008450561148358423,-0.0023050827136174385,True,better
50,P0_pi07_baseline,B_depth,843,30,3,-0.00532848265851723,-15.354644447089735,-0.007600860200707573,-0.0017597410324085648,True,better
50,P0_pi07_baseline,P4_pi07_full_stack,843,30,3,-0.0011764095191902353,-3.3899612795895604,-0.0020428001239015917,-0.00023848905376274213,True,better
50,P0_pi07_baseline,P3_pi07_subgoal,843,30,3,-0.0009818114823642954,-2.82920433299654,-0.0019599869118530674,7.155762570258933e-05,False,better
50,P0_pi07_baseline,D_tracks,843,30,3,-0.0004730172305338055,-1.3630543360377112,-0.0011202581998312048,-3.71399627860834e-05,True,better
50,P0_pi07_baseline,A_baseline,843,30,3,-0.00020897745893338023,-0.6021929290225491,-0.0006159834548947745,0.000240704618323728,False,better
50,P0_pi07_baseline,P_adapter_null,843,30,3,-4.6979913803993864e-05,-0.1353781027066312,-0.0004069468251054679,0.0003248975341732757,False,better
50,P0_pi07_baseline,P2_pi07_metadata,843,30,3,4.303246357589836e-05,0.12400306433091161,-0.00032627316297008976,0.00030408322069454724,False,worse
50,P0_pi07_baseline,P1_pi07_subtask_text,843,30,3,0.0003278397298765997,0.9447084302392973,-0.0003911569438678608,0.0008244355419429036,False,worse
50,P_adapter_null,P4_pi07_full_stack,843,30,3,-0.0011294296053862417,-3.2589951426743835,-0.0021482085330471433,-9.432015851667821e-05,True,better
50,P_adapter_null,P3_pi07_subgoal,843,30,3,-0.0009348315685603017,-2.697478024860894,-0.00201889265358376,0.0002545655356899037,False,better
50,P_adapter_null,P0_pi07_baseline,843,30,3,4.6979913803993864e-05,0.13556162346047027,-0.0003533273473672542,0.0004346998652846574,False,worse
50,P_adapter_null,P2_pi07_metadata,843,30,3,9.001237737989219e-05,0.25973278835852953,-0.0002696730622966028,0.00036212737456764015,False,worse
50,P_adapter_null,P1_pi07_subtask_text,843,30,3,0.0003748196436805936,1.081550715784768,-0.0003834896520216267,0.0010269035266291546,False,worse
