scale_n,family,seed,latent_mse,wall_clock_seconds_labeling,wall_clock_seconds_training,benchmark_backend,split_id,train_episode_count,heldout_episode_count,train_windows,heldout_windows,epochs,batch_size,learning_rate,device,pretrained_path,conditioning_note
25,baseline,0,0.04322149,0.0,62.325579,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
25,baseline,1,0.04093731,0.0,25.518029,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
25,rich_text,0,0.04160763,905.074955,25.558147,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
25,rich_text,1,0.04055037,905.074955,25.516628,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
25,rich_text_metadata,0,0.04071576,1666.120102,26.644518,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
25,rich_text_metadata,1,0.03864805,1666.120102,26.64639,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
25,rich_text_metadata_subgoal,0,0.03813901,1669.441897,28.324965,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
25,rich_text_metadata_subgoal,1,0.03790549,1669.441897,28.080679,real_lewm_frozen_adapter,scale_25_be7feab70c,15,10,320,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
50,baseline,0,0.03324802,0.0,71.887153,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
50,baseline,1,0.02877994,0.0,69.867815,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
50,rich_text,0,0.03244565,905.074955,70.992627,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
50,rich_text,1,0.02797966,905.074955,69.332577,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
50,rich_text_metadata,0,0.03079397,1666.120102,69.468669,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
50,rich_text_metadata,1,0.0257845,1666.120102,70.475143,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
50,rich_text_metadata_subgoal,0,0.02971485,1669.441897,74.480318,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
50,rich_text_metadata_subgoal,1,0.02524917,1669.441897,74.517589,real_lewm_frozen_adapter,scale_50_5ffcfba20b,40,10,899,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
100,baseline,0,0.02321928,0.0,183.594777,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
100,baseline,1,0.02182378,0.0,179.599068,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
