scale_n,family,seed,latent_mse,wall_clock_seconds_labeling,wall_clock_seconds_training,benchmark_backend,split_id,train_episode_count,heldout_episode_count,train_windows,heldout_windows,epochs,batch_size,learning_rate,device,pretrained_path,conditioning_note
25,baseline,0,0.03620436,0.0,59.201479,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
25,baseline,1,0.04173012,0.0,24.803778,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
25,rich_text,0,0.03612292,905.074955,24.882821,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
25,rich_text,1,0.04054143,905.074955,25.192032,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
25,rich_text_metadata,0,0.03431996,1666.120102,24.847366,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
25,rich_text_metadata,1,0.038282,1666.120102,26.635606,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
25,rich_text_metadata_subgoal,0,0.03295035,1669.441897,29.975573,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
25,rich_text_metadata_subgoal,1,0.03689429,1669.441897,29.128252,real_lewm_frozen_adapter,scale_25_aa40ccba39,15,10,316,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
50,baseline,0,0.03533344,0.0,74.670379,real_lewm_frozen_adapter,scale_50_dce85a4ecf,40,10,902,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
50,baseline,1,0.03517748,0.0,73.149008,real_lewm_frozen_adapter,scale_50_dce85a4ecf,40,10,902,281,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
